job_id;company_name;title;max_salary;pay_period;location;company_id;views;med_salary;min_salary;formatted_work_type;applies;original_listed_time;remote_allowed;job_posting_url;application_type;expiry;closed_time;formatted_experience_level;skills_desc;listed_time;sponsored;work_type;currency;compensation_type;normalized_salary;zip_code;fips;salary_id;industry_id;skill_readable;name;description_company;state;country;city;zip_code_company;address;industry
921716;Corcoran Sawyer Smith;Marketing Coordinator;200;HOURLY;Princeton, NJ;27744580;200;0;170;Full-time;20;1,71E+13;;https://www.linkedin.com/jobs/view/921716/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;"Requirements: 

We are seeking a College or Graduate Student (can also be completed with school) with a focus in Planning, Architecture, Real Estate Development or Management or General Business. Must be able to work in an extremely fast paced environment and able to multitask and prioritize.";1,71E+13;0;FULL_TIME;USD;BASE_SALARY;384800;85400;340210;;;;Confidential Company;;;;;;;Unknown Industry
1829192;;Mental Health Therapist/Counselor;500;HOURLY;Fort Collins, CO;;10;0;300;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1829192/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;832000;805210;80690;;;;Confidential Company;;;;;;;Unknown Industry
10998357;The National Exemplar ;Assitant Restaurant Manager;650000;YEARLY;Cincinnati, OH;648967190;80;0;450000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/10998357/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;We are currently accepting resumes for FOH - Asisstant Restaurant Management with a strong focus on delivering high quality customer service. Prefer 1 to 3 years FOH management experience. Candidate should be a self-starter, proactive, attentive to details and like developing others. Must have a strong sense of teamwork and strong witten and verbal communication skills. Have a keen interest in service, food and learning. Passion for excellence and doing things right.;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;550000;452020;390610;;;;Confidential Company;;;;;;;Unknown Industry
23221523;Abrams Fensterman, LLP;Senior Elder Law / Trusts and Estates Associate Attorney;1750000;YEARLY;New Hyde Park, NY;7662620;160;0;1400000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/23221523/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;This position requires a baseline understanding of online marketing including Search Engine Marketing, Search Engine Optimization, and campaign analytics. The ideal candidate must be an analytical and detailed dynamic, self-starter who is proactive, and able to multitask effectively. This individual must be a strategic thinker with excellent verbal and written communication, as well strong presentation skills and the ability to work independently in an organized manner.;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;1575000;110400;360590;;;;Confidential Company;;;;;;;Unknown Industry
35982263;; Service Technician;800000;YEARLY;Burlington, IA;;30;0;600000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/35982263/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;700000;526010;190570;;;;Confidential Company;;;;;;;Unknown Industry
91700727;Downtown Raleigh Alliance;Economic Development and Planning Intern;200;HOURLY;Raleigh, NC;14811760;90;0;140;Internship;40;1,71E+13;;https://www.linkedin.com/jobs/view/91700727/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;;1,71E+13;0;INTERNSHIP;USD;BASE_SALARY;353600;276010;371830;;;;Confidential Company;;;;;;;Unknown Industry
103254301;Raw Cereal;Producer;3000000;YEARLY;United States;819423160;70;0;600000;Contract;10;1,71E+13;10;https://www.linkedin.com/jobs/view/103254301/?trk=jobs_biz_prem_srch;SimpleOnsiteApply;1,72E+13;;;;1,71E+13;0;CONTRACT;USD;BASE_SALARY;1800000;;;;;;Confidential Company;;;;;;;Unknown Industry
112576855;;Building Engineer;1200000;YEARLY;San Francisco, CA;;20;0;900000;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/112576855/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,73E+13;;;;1,71E+13;0;FULL_TIME;USD;BASE_SALARY;1050000;941010;60750;;;;Confidential Company;;;;;;;Unknown Industry
1218575;Children's Nebraska;Respiratory Therapist;0;NOT SPECIFIED;Omaha, NE;7211890;30;0;0;Full-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/1218575/?trk=jobs_biz_prem_srch;OffsiteApply;1,71E+13;;;"• Requires the ability to communicate effective, both verbally and in writing • Requires basic computer skills 

EDUCATION AND EXPERIENCE: 

• Graduate of an accredited school of occupational therapy • Must possess current valid Nebraska State License in Occupational Therapy • Must possess current valid registration by the NBCOT ( National Board for Certification in Occupational Therapy) • Must be certified in Basic Life Support • Experience with pediatric patients preferred";1,71E+13;0;FULL_TIME;;;;681020;310550;;;;Confidential Company;;;;;;;Unknown Industry
2264355;Bay West Church;Worship Leader;0;MONTHLY;Palm Bay, FL;286312470;50;3500;0;Part-time;0;1,71E+13;;https://www.linkedin.com/jobs/view/2264355/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;"Knowledge, Skills and Abilities: 1. Proficient with computer technology such as Microsoft Office. Also proficiency with (or ability to learn) ProPresenter and online applications such as Google Calendar and Planning center. Understanding and skill in Photoshop, Adobe Premiere a plus.
 2. Good writing, analytical and problem‐solving skills.
 3. Good knowledge of social networking applications such as Facebook, Twitter.
 4. Ability to communicate effectively verbally and in writing.
 5. Ability to operate standard office equipment, including but not limited to, computers, telephone systems, copiers/printers and facsimile machines.
 6. Ability to follow oral and written instructions.
 7. Follow-up skills with great attention to detail.
 8. Coachable ability in graphic design and minimal video editing ability a HUGE plus and preferred, but not required. 
Minimum Qualifications: 1. At least two (2) years of experience in general office responsibilities and procedures and two (2) years of graphics design and media background.
 2. Must be proficient in computer usage, both internet and word processing.
 3. Knowledge of principles and practices of basic office management and organization.
 4. Ability to work well either alone or as part of a team.
 5. Must be fully committed to the mission of FBC Melbourne/Bay West Church";1,71E+13;0;PART_TIME;USD;BASE_SALARY;42000;329050;120090;;;;Confidential Company;;;;;;;Unknown Industry
9615617;Glastender, Inc.;Inside Customer Service Associate;0;NOT SPECIFIED;Saginaw, MI;11943360;40;0;0;Full-time;10;1,71E+13;;https://www.linkedin.com/jobs/view/9615617/?trk=jobs_biz_prem_srch;ComplexOnsiteApply;1,72E+13;;;The Production Supervisor must possess strong leadership skills with a demonstrated ability to organize a team and its production processes to meet specific targets. A college degree and/or five to seven years related work experience is required. Knowledge of lean manufacturing concepts is also required. This person should also posses excellent communication and organizational skills. Computer competency is necessary, as well as good presentation and training skills.;1,71E+13;0;FULL_TIME;;;;486010;261450;;;;Confidential Company;;;;;;;Unknown Industry
